,상호명,광역시도,시도,주소,입점수
119,빽다방,경기도,성남시 수정구,경기도 성남시 수정구,3
120,빽다방,강원도,강릉시,강원도 강릉시,2
121,빽다방,경기도,수원시 팔달구,경기도 수원시 팔달구,4
122,빽다방,경기도,군포시,경기도 군포시,8
123,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
124,빽다방,강원도,홍천군,강원도 홍천군,1
125,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
126,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
127,빽다방,경기도,화성시,경기도 화성시,12
128,빽다방,강원도,원주시,강원도 원주시,5
129,빽다방,충청북도,청주시 흥덕구,충청북도 청주시 흥덕구,2
130,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
131,빽다방,경기도,의왕시,경기도 의왕시,2
132,빽다방,경기도,의정부시,경기도 의정부시,4
133,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
134,빽다방,경기도,화성시,경기도 화성시,12
135,빽다방,경기도,군포시,경기도 군포시,8
136,빽다방,경기도,성남시 수정구,경기도 성남시 수정구,3
137,빽다방,충청북도,청주시 서원구,충청북도 청주시 서원구,3
138,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
139,빽다방,경기도,수원시 권선구,경기도 수원시 권선구,2
140,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
141,빽다방,경기도,파주시,경기도 파주시,6
142,빽다방,경기도,파주시,경기도 파주시,6
143,빽다방,경기도,화성시,경기도 화성시,12
144,빽다방,경기도,용인시 처인구,경기도 용인시 처인구,2
145,빽다방,경기도,남양주시,경기도 남양주시,3
146,빽다방,경기도,의왕시,경기도 의왕시,2
147,빽다방,경기도,김포시,경기도 김포시,7
148,빽다방,경기도,김포시,경기도 김포시,7
149,빽다방,경기도,군포시,경기도 군포시,8
150,빽다방,경기도,안양시 만안구,경기도 안양시 만안구,4
151,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
152,빽다방,경기도,고양시 덕양구,경기도 고양시 덕양구,5
153,빽다방,경기도,부천시,경기도 부천시,14
154,빽다방,경기도,고양시 덕양구,경기도 고양시 덕양구,5
155,빽다방,경기도,안양시 동안구,경기도 안양시 동안구,9
156,빽다방,경기도,화성시,경기도 화성시,12
157,빽다방,경기도,군포시,경기도 군포시,8
158,빽다방,경기도,군포시,경기도 군포시,8
159,빽다방,경기도,성남시 분당구,경기도 성남시 분당구,12
160,빽다방,경기도,파주시,경기도 파주시,6
161,빽다방,경기도,용인시 수지구,경기도 용인시 수지구,4
162,빽다방,경기도,고양시 덕양구,경기도 고양시 덕양구,5
163,빽다방,경기도,안양시 만안구,경기도 안양시 만안구,4
164,빽다방,경기도,고양시 일산서구,경기도 고양시 일산서구,2
165,빽다방,강원도,춘천시,강원도 춘천시,4
166,빽다방,경기도,평택시,경기도 평택시,4
167,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
168,빽다방,경기도,평택시,경기도 평택시,4
169,빽다방,경기도,수원시 팔달구,경기도 수원시 팔달구,4
170,빽다방,충청북도,청주시 서원구,충청북도 청주시 서원구,3
171,빽다방,경기도,용인시 기흥구,경기도 용인시 기흥구,9
172,빽다방,충청북도,충주시,충청북도 충주시,1
173,빽다방,경기도,오산시,경기도 오산시,3
174,빽다방,경기도,안산시 단원구,경기도 안산시 단원구,6
175,빽다방,경기도,김포시,경기도 김포시,7
176,빽다방,경기도,수원시 영통구,경기도 수원시 영통구,5
177,빽다방,경기도,화성시,경기도 화성시,12
178,빽다방,경기도,시흥시,경기도 시흥시,7
179,빽다방,경기도,화성시,경기도 화성시,12
180,빽다방,경기도,수원시 권선구,경기도 수원시 권선구,2
181,빽다방,경기도,양평군,경기도 양평군,1
182,빽다방,인천광역시,중구,인천광역시 중구,4
183,빽다방,인천광역시,남동구,인천광역시 남동구,18
184,빽다방,인천광역시,남동구,인천광역시 남동구,18
185,빽다방,인천광역시,중구,인천광역시 중구,4
186,빽다방,인천광역시,남구,인천광역시 남구,5
187,빽다방,인천광역시,남동구,인천광역시 남동구,18
188,빽다방,광주광역시,광산구,광주광역시 광산구,2
189,빽다방,대전광역시,서구,대전광역시 서구,10
190,빽다방,대구광역시,달서구,대구광역시 달서구,6
191,빽다방,인천광역시,연수구,인천광역시 연수구,8
192,빽다방,인천광역시,연수구,인천광역시 연수구,8
193,빽다방,대구광역시,달성군,대구광역시 달성군,2
194,빽다방,대전광역시,서구,대전광역시 서구,10
195,빽다방,광주광역시,서구,광주광역시 서구,3
196,빽다방,대전광역시,중구,대전광역시 중구,7
197,빽다방,울산광역시,동구,울산광역시 동구,2
198,빽다방,대구광역시,달서구,대구광역시 달서구,6
199,빽다방,인천광역시,남구,인천광역시 남구,5
200,빽다방,대구광역시,달서구,대구광역시 달서구,6
201,빽다방,인천광역시,남동구,인천광역시 남동구,18
202,빽다방,인천광역시,서구,인천광역시 서구,4
203,빽다방,광주광역시,동구,광주광역시 동구,4
204,빽다방,인천광역시,남동구,인천광역시 남동구,18
205,빽다방,인천광역시,남동구,인천광역시 남동구,18
206,빽다방,대전광역시,동구,대전광역시 동구,4
207,빽다방,대구광역시,북구,대구광역시 북구,5
208,빽다방,울산광역시,남구,울산광역시 남구,5
209,빽다방,대전광역시,유성구,대전광역시 유성구,6
210,빽다방,인천광역시,연수구,인천광역시 연수구,8
211,빽다방,인천광역시,남동구,인천광역시 남동구,18
212,빽다방,대전광역시,유성구,대전광역시 유성구,6
213,빽다방,대전광역시,서구,대전광역시 서구,10
214,빽다방,인천광역시,계양구,인천광역시 계양구,3
215,빽다방,대구광역시,수성구,대구광역시 수성구,1
216,빽다방,대구광역시,달서구,대구광역시 달서구,6
217,빽다방,울산광역시,남구,울산광역시 남구,5
218,빽다방,울산광역시,중구,울산광역시 중구,2
219,빽다방,대전광역시,대덕구,대전광역시 대덕구,2
220,빽다방,대전광역시,대덕구,대전광역시 대덕구,2
221,빽다방,대전광역시,동구,대전광역시 동구,4
222,빽다방,인천광역시,남동구,인천광역시 남동구,18
223,빽다방,인천광역시,연수구,인천광역시 연수구,8
224,빽다방,광주광역시,북구,광주광역시 북구,2
225,빽다방,대구광역시,북구,대구광역시 북구,5
226,빽다방,인천광역시,남동구,인천광역시 남동구,18
227,빽다방,대전광역시,서구,대전광역시 서구,10
228,빽다방,인천광역시,남동구,인천광역시 남동구,18
229,빽다방,인천광역시,남동구,인천광역시 남동구,18
230,빽다방,대전광역시,유성구,대전광역시 유성구,6
231,빽다방,인천광역시,남구,인천광역시 남구,5
232,빽다방,인천광역시,연수구,인천광역시 연수구,8
233,빽다방,인천광역시,남동구,인천광역시 남동구,18
234,빽다방,인천광역시,부평구,인천광역시 부평구,2
235,빽다방,대구광역시,달서구,대구광역시 달서구,6
236,빽다방,대구광역시,중구,대구광역시 중구,4
237,빽다방,대전광역시,서구,대전광역시 서구,10
238,빽다방,광주광역시,북구,광주광역시 북구,2
239,빽다방,대전광역시,서구,대전광역시 서구,10
240,빽다방,대전광역시,유성구,대전광역시 유성구,6
241,빽다방,대전광역시,서구,대전광역시 서구,10
242,빽다방,대전광역시,중구,대전광역시 중구,7
243,빽다방,대구광역시,중구,대구광역시 중구,4
244,빽다방,광주광역시,동구,광주광역시 동구,4
245,빽다방,울산광역시,북구,울산광역시 북구,1
246,빽다방,인천광역시,남동구,인천광역시 남동구,18
247,빽다방,대전광역시,서구,대전광역시 서구,10
248,빽다방,울산광역시,중구,울산광역시 중구,2
249,빽다방,대구광역시,동구,대구광역시 동구,2
250,빽다방,인천광역시,남동구,인천광역시 남동구,18
251,빽다방,대구광역시,북구,대구광역시 북구,5
252,빽다방,대구광역시,북구,대구광역시 북구,5
253,빽다방,울산광역시,남구,울산광역시 남구,5
254,빽다방,인천광역시,남동구,인천광역시 남동구,18
255,빽다방,인천광역시,부평구,인천광역시 부평구,2
256,빽다방,대전광역시,동구,대전광역시 동구,4
257,빽다방,대구광역시,북구,대구광역시 북구,5
258,빽다방,광주광역시,동구,광주광역시 동구,4
259,빽다방,대구광역시,중구,대구광역시 중구,4
260,빽다방,대전광역시,중구,대전광역시 중구,7
261,빽다방,인천광역시,서구,인천광역시 서구,4
262,빽다방,울산광역시,남구,울산광역시 남구,5
263,빽다방,광주광역시,광산구,광주광역시 광산구,2
264,빽다방,인천광역시,남동구,인천광역시 남동구,18
265,빽다방,인천광역시,남동구,인천광역시 남동구,18
266,빽다방,대전광역시,유성구,대전광역시 유성구,6
267,빽다방,대전광역시,동구,대전광역시 동구,4
268,빽다방,울산광역시,동구,울산광역시 동구,2
269,빽다방,대전광역시,중구,대전광역시 중구,7
270,빽다방,인천광역시,남동구,인천광역시 남동구,18
271,빽다방,대전광역시,서구,대전광역시 서구,10
272,빽다방,대전광역시,중구,대전광역시 중구,7
273,빽다방,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,3
274,빽다방,인천광역시,서구,인천광역시 서구,4
275,빽다방,대전광역시,유성구,대전광역시 유성구,6
276,빽다방,대구광역시,중구,대구광역시 중구,4
277,빽다방,인천광역시,연수구,인천광역시 연수구,8
278,빽다방,인천광역시,중구,인천광역시 중구,4
279,빽다방,대구광역시,달서구,대구광역시 달서구,6
280,빽다방,인천광역시,연수구,인천광역시 연수구,8
281,빽다방,광주광역시,서구,광주광역시 서구,3
282,빽다방,인천광역시,남구,인천광역시 남구,5
283,빽다방,인천광역시,남구,인천광역시 남구,5
284,빽다방,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,3
285,빽다방,인천광역시,계양구,인천광역시 계양구,3
286,빽다방,대구광역시,달성군,대구광역시 달성군,2
287,빽다방,대전광역시,서구,대전광역시 서구,10
288,빽다방,대전광역시,중구,대전광역시 중구,7
289,빽다방,인천광역시,강화군,인천광역시 강화군,1
290,빽다방,울산광역시,남구,울산광역시 남구,5
291,빽다방,광주광역시,동구,광주광역시 동구,4
292,빽다방,울산광역시,울주군,울산광역시 울주군,1
293,빽다방,대구광역시,동구,대구광역시 동구,2
294,빽다방,대전광역시,중구,대전광역시 중구,7
295,빽다방,인천광역시,연수구,인천광역시 연수구,8
296,빽다방,광주광역시,서구,광주광역시 서구,3
297,빽다방,인천광역시,서구,인천광역시 서구,4
298,빽다방,인천광역시,계양구,인천광역시 계양구,3
299,빽다방,세종특별자치시,세종특별자치시,세종특별자치시 세종특별자치시,3
300,빽다방,인천광역시,중구,인천광역시 중구,4
301,빽다방,경상남도,통영시,경상남도 통영시,3
302,빽다방,전라북도,익산시,전라북도 익산시,2
303,빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
304,빽다방,충청남도,논산시,충청남도 논산시,1
305,빽다방,전라남도,순천시,전라남도 순천시,2
306,빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
307,빽다방,경상남도,창원시 성산구,경상남도 창원시 성산구,1
308,빽다방,경상북도,경산시,경상북도 경산시,3
309,빽다방,경상북도,포항시 북구,경상북도 포항시 북구,2
310,빽다방,전라북도,전주시 덕진구,전라북도 전주시 덕진구,1
311,빽다방,경상남도,진주시,경상남도 진주시,4
312,빽다방,경상북도,안동시,경상북도 안동시,2
313,빽다방,경상남도,창원시 의창구,경상남도 창원시 의창구,2
314,빽다방,충청남도,아산시,충청남도 아산시,4
315,빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
316,빽다방,충청남도,아산시,충청남도 아산시,4
317,빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
318,빽다방,전라북도,익산시,전라북도 익산시,2
319,빽다방,경상북도,경산시,경상북도 경산시,3
320,빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
321,빽다방,충청남도,공주시,충청남도 공주시,1
322,빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
323,빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
324,빽다방,경상북도,구미시,경상북도 구미시,3
325,빽다방,충청남도,천안시 동남구,충청남도 천안시 동남구,3
326,빽다방,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구,1
327,빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
328,빽다방,경상남도,진주시,경상남도 진주시,4
329,빽다방,전라남도,순천시,전라남도 순천시,2
330,빽다방,경상남도,김해시,경상남도 김해시,3
331,빽다방,경상북도,안동시,경상북도 안동시,2
332,빽다방,충청남도,아산시,충청남도 아산시,4
333,빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
334,빽다방,전라남도,여수시,전라남도 여수시,3
335,빽다방,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구,1
336,빽다방,경상북도,경산시,경상북도 경산시,3
337,빽다방,전라남도,여수시,전라남도 여수시,3
338,빽다방,경상남도,양산시,경상남도 양산시,1
339,빽다방,경상남도,통영시,경상남도 통영시,3
340,빽다방,충청남도,당진시,충청남도 당진시,3
341,빽다방,제주특별자치도,제주시,제주특별자치도 제주시,5
342,빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
343,빽다방,전라남도,목포시,전라남도 목포시,3
344,빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
345,빽다방,경상북도,경주시,경상북도 경주시,2
346,빽다방,경상남도,김해시,경상남도 김해시,3
347,빽다방,경상북도,구미시,경상북도 구미시,3
348,빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
349,빽다방,경상남도,거제시,경상남도 거제시,2
350,빽다방,경상북도,경주시,경상북도 경주시,2
351,빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
352,빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
353,빽다방,충청남도,홍성군,충청남도 홍성군,2
354,빽다방,경상북도,울진군,경상북도 울진군,1
355,빽다방,경상남도,창원시 의창구,경상남도 창원시 의창구,2
356,빽다방,경상북도,구미시,경상북도 구미시,3
357,빽다방,전라남도,여수시,전라남도 여수시,3
358,빽다방,경상남도,고성군,경상남도 고성군,2
359,빽다방,경상남도,김해시,경상남도 김해시,3
360,빽다방,전라남도,목포시,전라남도 목포시,3
361,빽다방,충청남도,천안시 동남구,충청남도 천안시 동남구,3
362,빽다방,충청남도,아산시,충청남도 아산시,4
363,빽다방,전라북도,전주시 완산구,전라북도 전주시 완산구,5
364,빽다방,경상북도,포항시 북구,경상북도 포항시 북구,2
365,빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
366,빽다방,충청남도,서산시,충청남도 서산시,1
367,빽다방,전라남도,광양시,전라남도 광양시,1
368,빽다방,충청남도,천안시 서북구,충청남도 천안시 서북구,5
369,빽다방,충청남도,천안시 동남구,충청남도 천안시 동남구,3
370,빽다방,전라남도,무안군,전라남도 무안군,1
371,빽다방,전라북도,정읍시,전라북도 정읍시,1
372,빽다방,충청남도,당진시,충청남도 당진시,3
373,빽다방,충청남도,당진시,충청남도 당진시,3
374,빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
375,빽다방,경상남도,진주시,경상남도 진주시,4
376,빽다방,경상남도,통영시,경상남도 통영시,3
377,빽다방,경상남도,거제시,경상남도 거제시,2
378,빽다방,경상남도,진주시,경상남도 진주시,4
379,빽다방,경상남도,고성군,경상남도 고성군,2
380,빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
381,빽다방,경상남도,거창군,경상남도 거창군,1
382,빽다방,전라남도,목포시,전라남도 목포시,3
383,빽다방,충청남도,홍성군,충청남도 홍성군,2
384,빽다방,충청남도,보령시,충청남도 보령시,1
385,빽다방,경상북도,예천군,경상북도 예천군,1
386,빽다방,제주특별자치도,서귀포시,제주특별자치도 서귀포시,6
387,빽다방,서울특별시,서초구,서울특별시 서초구,9
388,빽다방,서울특별시,동대문구,서울특별시 동대문구,5
389,빽다방,서울특별시,광진구,서울특별시 광진구,5
390,빽다방,서울특별시,송파구,서울특별시 송파구,11
391,빽다방,서울특별시,광진구,서울특별시 광진구,5
392,빽다방,서울특별시,중구,서울특별시 중구,7
393,빽다방,서울특별시,강동구,서울특별시 강동구,5
394,빽다방,서울특별시,강동구,서울특별시 강동구,5
395,빽다방,서울특별시,구로구,서울특별시 구로구,5
396,빽다방,부산광역시,중구,부산광역시 중구,3
397,빽다방,서울특별시,강서구,서울특별시 강서구,8
398,빽다방,서울특별시,양천구,서울특별시 양천구,4
399,빽다방,서울특별시,성북구,서울특별시 성북구,6
400,빽다방,서울특별시,관악구,서울특별시 관악구,5
401,빽다방,서울특별시,강북구,서울특별시 강북구,1
402,빽다방,서울특별시,강남구,서울특별시 강남구,16
403,빽다방,서울특별시,관악구,서울특별시 관악구,5
404,빽다방,서울특별시,은평구,서울특별시 은평구,6
405,빽다방,부산광역시,동래구,부산광역시 동래구,2
406,빽다방,서울특별시,서대문구,서울특별시 서대문구,4
407,빽다방,서울특별시,용산구,서울특별시 용산구,4
408,빽다방,부산광역시,해운대구,부산광역시 해운대구,4
409,빽다방,부산광역시,중구,부산광역시 중구,3
410,빽다방,서울특별시,서초구,서울특별시 서초구,9
411,빽다방,서울특별시,강남구,서울특별시 강남구,16
412,빽다방,부산광역시,연제구,부산광역시 연제구,1
413,빽다방,서울특별시,용산구,서울특별시 용산구,4
414,빽다방,서울특별시,마포구,서울특별시 마포구,6
415,빽다방,서울특별시,광진구,서울특별시 광진구,5
416,빽다방,서울특별시,용산구,서울특별시 용산구,4
417,빽다방,서울특별시,강동구,서울특별시 강동구,5
418,빽다방,서울특별시,광진구,서울특별시 광진구,5
419,빽다방,서울특별시,강남구,서울특별시 강남구,16
420,빽다방,서울특별시,은평구,서울특별시 은평구,6
421,빽다방,부산광역시,금정구,부산광역시 금정구,3
422,빽다방,서울특별시,서초구,서울특별시 서초구,9
423,빽다방,서울특별시,송파구,서울특별시 송파구,11
424,빽다방,서울특별시,영등포구,서울특별시 영등포구,6
425,빽다방,서울특별시,은평구,서울특별시 은평구,6
426,빽다방,서울특별시,동작구,서울특별시 동작구,4
427,빽다방,부산광역시,금정구,부산광역시 금정구,3
428,빽다방,서울특별시,은평구,서울특별시 은평구,6
429,빽다방,서울특별시,은평구,서울특별시 은평구,6
430,빽다방,서울특별시,송파구,서울특별시 송파구,11
431,빽다방,서울특별시,노원구,서울특별시 노원구,5
432,빽다방,부산광역시,해운대구,부산광역시 해운대구,4
433,빽다방,서울특별시,영등포구,서울특별시 영등포구,6
434,빽다방,서울특별시,강남구,서울특별시 강남구,16
435,빽다방,서울특별시,마포구,서울특별시 마포구,6
436,빽다방,서울특별시,강남구,서울특별시 강남구,16
437,빽다방,서울특별시,강남구,서울특별시 강남구,16
438,빽다방,서울특별시,중구,서울특별시 중구,7
439,빽다방,부산광역시,남구,부산광역시 남구,1
440,빽다방,부산광역시,해운대구,부산광역시 해운대구,4
441,빽다방,서울특별시,동대문구,서울특별시 동대문구,5
442,빽다방,부산광역시,북구,부산광역시 북구,3
443,빽다방,서울특별시,강남구,서울특별시 강남구,16
444,빽다방,서울특별시,강서구,서울특별시 강서구,8
445,빽다방,서울특별시,서초구,서울특별시 서초구,9
446,빽다방,서울특별시,강동구,서울특별시 강동구,5
447,빽다방,서울특별시,송파구,서울특별시 송파구,11
448,빽다방,서울특별시,영등포구,서울특별시 영등포구,6
449,빽다방,서울특별시,동작구,서울특별시 동작구,4
450,빽다방,서울특별시,양천구,서울특별시 양천구,4
451,빽다방,서울특별시,마포구,서울특별시 마포구,6
452,빽다방,서울특별시,종로구,서울특별시 종로구,7
453,빽다방,서울특별시,종로구,서울특별시 종로구,7
454,빽다방,서울특별시,강남구,서울특별시 강남구,16
455,빽다방,부산광역시,해운대구,부산광역시 해운대구,4
456,빽다방,서울특별시,노원구,서울특별시 노원구,5
457,빽다방,서울특별시,송파구,서울특별시 송파구,11
458,빽다방,서울특별시,성동구,서울특별시 성동구,4
459,빽다방,부산광역시,부산진구,부산광역시 부산진구,3
460,빽다방,서울특별시,강남구,서울특별시 강남구,16
461,빽다방,서울특별시,마포구,서울특별시 마포구,6
462,빽다방,부산광역시,부산진구,부산광역시 부산진구,3
463,빽다방,서울특별시,영등포구,서울특별시 영등포구,6
464,빽다방,서울특별시,강남구,서울특별시 강남구,16
465,빽다방,서울특별시,광진구,서울특별시 광진구,5
466,빽다방,서울특별시,구로구,서울특별시 구로구,5
467,빽다방,서울특별시,종로구,서울특별시 종로구,7
468,빽다방,서울특별시,마포구,서울특별시 마포구,6
469,빽다방,서울특별시,구로구,서울특별시 구로구,5
470,빽다방,서울특별시,성북구,서울특별시 성북구,6
471,빽다방,서울특별시,송파구,서울특별시 송파구,11
472,빽다방,서울특별시,서초구,서울특별시 서초구,9
473,빽다방,서울특별시,금천구,서울특별시 금천구,1
474,빽다방,서울특별시,송파구,서울특별시 송파구,11
475,빽다방,서울특별시,서대문구,서울특별시 서대문구,4
476,빽다방,부산광역시,수영구,부산광역시 수영구,1
477,빽다방,서울특별시,강남구,서울특별시 강남구,16
