,ID,CoffeeBean,Paikdabang,Starbucks,총매장수,y,x
49,서울 서대문,1.0,16.0,21.0,38.0,4,5
50,서울 서초,8.0,81.0,45.0,134.0,7,6
51,서울 성북,2.0,36.0,11.0,49.0,3,6
52,서울 송파,11.0,121.0,29.0,161.0,6,8
53,서울 양천,1.0,16.0,14.0,31.0,7,4
54,서울 영등포,3.0,36.0,35.0,74.0,8,4
55,서울 용산,2.0,16.0,17.0,35.0,6,6
56,서울 은평,1.0,36.0,8.0,45.0,5,4
57,서울 종로,5.0,49.0,38.0,92.0,4,6
58,서울 중구,3.0,49.0,50.0,102.0,5,6
59,서울 중랑,1.0,4.0,6.0,11.0,4,8
60,세종,1.0,9.0,7.0,17.0,13,4
61,울산 남구,2.0,25.0,13.0,40.0,15,12
62,인천 남동,1.0,324.0,9.0,334.0,10,2
63,인천 부평,1.0,4.0,9.0,14.0,8,2
64,인천 연수,2.0,64.0,10.0,76.0,10,1
65,인천 중구,4.0,16.0,7.0,27.0,9,1
66,천안 동남,1.0,9.0,5.0,15.0,11,2
67,청주 상당,1.0,4.0,3.0,8.0,14,6
68,청주 흥덕,1.0,4.0,6.0,11.0,12,7
69,강릉,0.0,4.0,3.0,7.0,3,11
70,동해,0.0,1.0,1.0,2.0,4,11
71,춘천,0.0,16.0,5.0,21.0,1,9
72,홍천,0.0,1.0,3.0,4.0,2,8
73,광주,0.0,4.0,2.0,6.0,7,9
74,안산 단원,0.0,36.0,7.0,43.0,8,3
75,안산 상록,0.0,1.0,2.0,3.0,7,3
76,시흥,0.0,49.0,5.0,54.0,6,3
77,안성,0.0,1.0,2.0,3.0,10,4
78,양평,0.0,1.0,1.0,2.0,4,9
79,오산,0.0,9.0,3.0,12.0,10,3
80,의왕,0.0,4.0,1.0,5.0,9,6
81,의정부,0.0,16.0,10.0,26.0,1,7
82,성남 중원,0.0,9.0,2.0,11.0,7,7
83,용인 처인,0.0,4.0,3.0,7.0,9,9
84,포천,0.0,1.0,2.0,3.0,1,6
85,거제,0.0,4.0,4.0,8.0,22,8
86,김해,0.0,9.0,9.0,18.0,20,9
87,창원 합포,0.0,1.0,3.0,4.0,19,8
88,창원 회원,0.0,1.0,4.0,5.0,21,7
89,양산,0.0,1.0,7.0,8.0,19,7
90,통영,0.0,9.0,1.0,10.0,21,8
91,경산,0.0,9.0,6.0,15.0,12,11
92,구미,0.0,9.0,9.0,18.0,10,10
93,안동,0.0,4.0,2.0,6.0,9,10
94,광주 광산,0.0,4.0,11.0,15.0,21,2
95,광주 동구,0.0,16.0,7.0,23.0,23,3
96,광주 북구,0.0,4.0,10.0,14.0,22,3
97,대구 달서,0.0,36.0,18.0,54.0,16,8
98,대구 달성,0.0,4.0,2.0,6.0,16,9
99,대구 동구,0.0,4.0,8.0,12.0,15,10
100,대구 북구,0.0,25.0,7.0,32.0,14,8
101,대구 수성,0.0,1.0,18.0,19.0,14,10
102,대전 대덕,0.0,4.0,4.0,8.0,13,5
103,대전 동구,0.0,16.0,4.0,20.0,14,5
104,대전 유성,0.0,36.0,11.0,47.0,15,4
105,대전 중구,0.0,49.0,7.0,56.0,15,5
106,부산 금정,0.0,9.0,7.0,16.0,16,10
107,부산 남구,0.0,1.0,6.0,7.0,19,11
108,부산 동래,0.0,4.0,7.0,11.0,16,11
109,부산 북구,0.0,9.0,2.0,11.0,17,9
110,부산 사하,0.0,1.0,7.0,8.0,19,10
111,부산 연제,0.0,1.0,5.0,6.0,17,11
112,서울 금천,0.0,1.0,10.0,11.0,8,5
113,서울 동작,0.0,16.0,8.0,24.0,6,5
114,서울 성동,0.0,16.0,9.0,25.0,5,7
115,울산 동구,0.0,4.0,2.0,6.0,14,12
116,울산 북구,0.0,1.0,4.0,5.0,13,12
117,울산 울주,0.0,1.0,1.0,2.0,14,11
118,울산 중구,0.0,4.0,5.0,9.0,15,11
119,인천 계양,0.0,9.0,2.0,11.0,7,2
120,인천 서구,0.0,16.0,6.0,22.0,6,1
121,광양,0.0,1.0,1.0,2.0,21,5
122,목포,0.0,9.0,5.0,14.0,22,0
123,무안,0.0,1.0,1.0,2.0,21,1
124,순천,0.0,4.0,4.0,8.0,22,4
125,여수,0.0,9.0,5.0,14.0,23,4
126,전주 덕진,0.0,1.0,4.0,5.0,18,3
127,전주 완산,0.0,25.0,9.0,34.0,19,3
128,익산,0.0,4.0,3.0,7.0,16,3
129,정읍,0.0,1.0,1.0,2.0,18,2
130,서귀포,0.0,36.0,9.0,45.0,26,5
131,제주,0.0,25.0,8.0,33.0,25,5
132,공주,0.0,1.0,2.0,3.0,12,4
133,논산,0.0,1.0,1.0,2.0,14,3
134,당진,0.0,9.0,2.0,11.0,12,1
135,천안 서북,0.0,25.0,10.0,35.0,11,3
136,서산,0.0,1.0,2.0,3.0,13,1
137,아산,0.0,16.0,4.0,20.0,11,1
138,청주 서원,0.0,9.0,3.0,12.0,14,7
139,청주 청원,0.0,1.0,3.0,4.0,13,7
140,충주,0.0,1.0,4.0,5.0,12,6
141,고성(강원),0.0,0.0,1.0,1.0,0,10
142,속초,0.0,0.0,3.0,3.0,1,10
143,과천,0.0,0.0,3.0,3.0,7,8
144,동두천,0.0,0.0,2.0,2.0,1,4
145,양주,0.0,0.0,4.0,4.0,1,3
146,여주,0.0,0.0,3.0,3.0,5,9
147,사천,0.0,0.0,2.0,2.0,21,6
148,창원 진해,0.0,0.0,2.0,2.0,20,8
149,김천,0.0,0.0,2.0,2.0,11,9
150,포항 남구,0.0,0.0,7.0,7.0,11,12
151,문경,0.0,0.0,1.0,1.0,8,10
152,광주 남구,0.0,0.0,7.0,7.0,23,2
153,대구 서구,0.0,0.0,1.0,1.0,15,8
154,부산 강서,0.0,0.0,2.0,2.0,18,8
155,부산 동구,0.0,0.0,2.0,2.0,18,10
156,부산 사상,0.0,0.0,3.0,3.0,18,9
157,부산 서구,0.0,0.0,3.0,3.0,19,9
158,서울 도봉,0.0,0.0,2.0,2.0,2,5
159,인천 동구,0.0,0.0,1.0,1.0,7,1
160,나주,0.0,0.0,1.0,1.0,22,1
161,군산,0.0,0.0,2.0,2.0,16,2
162,계룡,0.0,0.0,1.0,1.0,14,4
163,제천,0.0,0.0,1.0,1.0,10,7
164,철원,0.0,0.0,0.0,0.0,0,7
165,화천,0.0,0.0,0.0,0.0,0,8
166,양구,0.0,0.0,0.0,0.0,0,9
167,연천,0.0,0.0,0.0,0.0,1,5
168,인제,0.0,0.0,0.0,0.0,1,8
169,횡성,0.0,0.0,0.0,0.0,2,9
170,양양,0.0,0.0,0.0,0.0,2,10
171,가평,0.0,0.0,0.0,0.0,3,7
172,정선,0.0,0.0,0.0,0.0,3,10
173,태백,0.0,0.0,0.0,0.0,4,10
174,인천 강화,0.0,0.0,0.0,0.0,5,1
175,삼척,0.0,0.0,0.0,0.0,5,11
176,부천 오정,0.0,0.0,0.0,0.0,6,2
177,평창,0.0,0.0,0.0,0.0,6,10
178,울진,0.0,0.0,0.0,0.0,6,11
179,영월,0.0,0.0,0.0,0.0,7,10
180,영덕,0.0,0.0,0.0,0.0,7,11
181,봉화,0.0,0.0,0.0,0.0,8,11
182,울릉,0.0,0.0,0.0,0.0,8,13
183,인천 남구,0.0,0.0,0.0,0.0,9,2
184,영양,0.0,0.0,0.0,0.0,9,11
185,인천 옹진,0.0,0.0,0.0,0.0,10,0
186,예천,0.0,0.0,0.0,0.0,10,8
187,영주,0.0,0.0,0.0,0.0,10,9
188,청송,0.0,0.0,0.0,0.0,10,11
189,태안,0.0,0.0,0.0,0.0,11,0
190,음성,0.0,0.0,0.0,0.0,11,5
191,단양,0.0,0.0,0.0,0.0,11,7
192,상주,0.0,0.0,0.0,0.0,11,8
193,군위,0.0,0.0,0.0,0.0,11,10
194,의성,0.0,0.0,0.0,0.0,11,11
195,홍성,0.0,0.0,0.0,0.0,12,2
196,예산,0.0,0.0,0.0,0.0,12,3
197,진천,0.0,0.0,0.0,0.0,12,5
198,괴산,0.0,0.0,0.0,0.0,12,8
199,칠곡,0.0,0.0,0.0,0.0,12,9
200,영천,0.0,0.0,0.0,0.0,12,10
201,보령,0.0,0.0,0.0,0.0,13,2
202,청양,0.0,0.0,0.0,0.0,13,3
203,증평,0.0,0.0,0.0,0.0,13,6
204,보은,0.0,0.0,0.0,0.0,13,8
205,고령,0.0,0.0,0.0,0.0,13,9
206,청도,0.0,0.0,0.0,0.0,13,10
207,성주,0.0,0.0,0.0,0.0,13,11
208,부여,0.0,0.0,0.0,0.0,14,2
209,서천,0.0,0.0,0.0,0.0,15,2
210,금산,0.0,0.0,0.0,0.0,15,3
211,옥천,0.0,0.0,0.0,0.0,15,6
212,영동,0.0,0.0,0.0,0.0,15,7
213,대구 남구,0.0,0.0,0.0,0.0,15,9
214,무주,0.0,0.0,0.0,0.0,16,5
215,거창,0.0,0.0,0.0,0.0,16,6
216,합천,0.0,0.0,0.0,0.0,16,7
217,부안,0.0,0.0,0.0,0.0,17,2
218,김제,0.0,0.0,0.0,0.0,17,3
219,완주,0.0,0.0,0.0,0.0,17,4
220,장수,0.0,0.0,0.0,0.0,17,5
221,함양,0.0,0.0,0.0,0.0,17,6
222,창녕,0.0,0.0,0.0,0.0,17,7
223,밀양,0.0,0.0,0.0,0.0,17,8
224,고창,0.0,0.0,0.0,0.0,18,1
225,진안,0.0,0.0,0.0,0.0,18,4
226,남원,0.0,0.0,0.0,0.0,18,5
227,의령,0.0,0.0,0.0,0.0,18,7
228,영광,0.0,0.0,0.0,0.0,19,1
229,장성,0.0,0.0,0.0,0.0,19,2
230,임실,0.0,0.0,0.0,0.0,19,4
231,산청,0.0,0.0,0.0,0.0,19,5
232,함안,0.0,0.0,0.0,0.0,19,6
233,함평,0.0,0.0,0.0,0.0,20,1
234,담양,0.0,0.0,0.0,0.0,20,2
235,순창,0.0,0.0,0.0,0.0,20,3
236,구례,0.0,0.0,0.0,0.0,20,4
237,하동,0.0,0.0,0.0,0.0,20,5
238,부산 영도,0.0,0.0,0.0,0.0,20,10
239,신안,0.0,0.0,0.0,0.0,21,0
240,곡성,0.0,0.0,0.0,0.0,21,3
241,화순,0.0,0.0,0.0,0.0,21,4
242,고흥,0.0,0.0,0.0,0.0,22,5
243,남해,0.0,0.0,0.0,0.0,22,6
244,고성(경남),0.0,0.0,0.0,0.0,22,7
245,해남,0.0,0.0,0.0,0.0,23,0
246,영암,0.0,0.0,0.0,0.0,23,1
247,진도,0.0,0.0,0.0,0.0,24,0
248,강진,0.0,0.0,0.0,0.0,24,1
249,장흥,0.0,0.0,0.0,0.0,24,2
250,보성,0.0,0.0,0.0,0.0,24,3
251,완도,0.0,0.0,0.0,0.0,25,2
